Gender,Age,Water (L),Energy (kcal) Min,Energy (kcal) Max,Carbohydrate (g),Protein (g),Fiber (g),Added Sugar (low max),Added Sugar (high max),Sugar (g),Fat (low max),Fat (high max),Fat (g),Saturated Fat (low max),Saturated Fat (high max),Sodium (mg/d),Vit A (mg/d),Vit C (mg/d),Vit D (mg/d),Vit E (mg/d),Calcium (mg/d),Iron (mg/d),Magnesium (mg/d),Folate (mg/d)
Male,1,1.3,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,15,5,700,7,80,120
Male,2,1.3,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,15,5,700,7,80,120
Male,3,1.3,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,15,5,700,7,80,120
Male,4,1.7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,15,6,1000,10,130,160
Male,5,1.7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,15,6,1000,10,130,160
Male,6,1.7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,15,6,1000,10,130,160
Male,7,1.7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,15,6,1000,10,130,160
Male,8,1.7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,15,6,1000,10,130,160
Male,9,2.4,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,15,9,1300,8,240,250
Male,10,2.4,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,15,9,1300,8,240,250
Male,11,2.4,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,15,9,1300,8,240,250
Male,12,2.4,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,15,9,1300,8,240,250
Male,13,2.4,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,15,9,1300,8,240,250
Male,14,3.3,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,15,12,1300,11,410,330
Male,15,3.3,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,15,12,1300,11,410,330
Male,16,3.3,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,15,12,1300,11,410,330
Male,17,3.3,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,15,12,1300,11,410,330
Male,18,3.3,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,15,12,1300,11,410,330
Male,19,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,20,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,21,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,22,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,23,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,24,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,25,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,26,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,27,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,28,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,29,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,30,3.7,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,15,12,1000,8,400,320
Male,31,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,32,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,33,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,34,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,35,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,36,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,37,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,38,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,39,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,40,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,41,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,42,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,43,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,44,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,45,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,46,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,47,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,48,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,49,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,50,3.7,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,15,12,1000,8,420,320
Male,51,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,52,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,53,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,54,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,55,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,56,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,57,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,58,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,59,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,60,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,61,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,62,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,63,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
Male,64,3.7,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,15,12,1000,8,420,320
