Nutrient Type,Nutrient,Unit,Disclaimer
Calories,Calories,kcal,"Please note: the recommended range is based on extremes in different ages, activity levels, and genders. The actual value represents a crude average of this demographic."
Carbohydrate,Carbohydrate,g,"The reference value is the RDA (Recommended Dietary Allowance), the average daily intake that's sufficient to meet the nutrient requirements of nearly all (97-98%) healthy individuals in this group. The specific target range for each individual is dependent on his/her caloric intake. [Source: NIH]"
Protein,Protein,g,"The reference value is the RDA (Recommended Dietary Allowance), the average daily intake that's sufficient to meet the nutrient requirements of nearly all (97-98%) healthy individuals in this group. The specific target range for each individual is dependent on his/her caloric intake. [Source: NIH]"
Fat,Fat,g,"The reference value is the RDA (Recommended Dietary Allowance), the average daily intake that's sufficient to meet the nutrient requirements of nearly all (97-98%) healthy individuals in this group. The specific target range for each individual is dependent on his/her caloric intake. [Source: NIH]"
Fiber,Fiber,g,"The reference value is the AI (Adequate Intake) value, the average daily intake that's sufficient to meet the nutrient requirements of most people in this group. [Source: NIH]"
Sugar,Sugar,g,"Sugar consumption should be as low as possible. The reference value is the maximum recommended intake of added sugars (less than 10% of total energy intake). No reference values exist for total sugars, except that they should be kept to a minimum. [Source: NIH, WHO]"
Sodium,Sodium,mg,"The target range spans between the Adequate Intake level (AI) and the Tolerable Upper Intake Level (UL), the highest level of daily nutrient intake that is likely to pose no risk of adverse health effects. [Source: NIH]"
Saturated Fat,Saturated Fat,g,"Saturated Fat intake should be as low as possible. This reference value is the maximum recommended daily intake set by the American Heart Association (AHA)�5-6% of total energy intake. [Sources: NIH, AHA]"
Cholesterol,Cholesterol,mg,"Cholesterol intake should be as low as possible. This reference value is the maximum recommended daily intake set by the American Heart Association (AHA). [Sources: NIH, AHA]"
Vitamin A,Vitamin A,mg,The target range sets the Recommended Dietary Allowance (RDA) as a minimum. The Tolerable Upper Intake Level (UL) also exists but is magnitudes higher and therefore not displayed in this chart. [Source: NIH]
Vitamin C,Vitamin C,mg,The target range sets the Recommended Dietary Allowance (RDA) as a minimum. The Tolerable Upper Intake Level (UL) also exists but is magnitudes higher and therefore not displayed in this chart. [Source: NIH]
Vitamin E,Vitamin E,mg,The target range sets the Recommended Dietary Allowance (RDA) as a minimum. The Tolerable Upper Intake Level (UL) also exists but is magnitudes higher and therefore not displayed in this chart. [Source: NIH]
Calcium,Calcium,mg,The target range sets the Recommended Dietary Allowance (RDA) as a minimum. The Tolerable Upper Intake Level (UL) also exists but is magnitudes higher and therefore not displayed in this chart. [Source: NIH]
Iron,Iron,mg,The target range sets the Recommended Dietary Allowance (RDA) as a minimum. The Tolerable Upper Intake Level (UL) also exists but is magnitudes higher and therefore not displayed in this chart. [Source: NIH]
