Gender,Age,Calories,Carbohydrate,Protein,Sugar,Fat,Saturated Fat,Cholesterol,Sodium
Male,2-5,1600,130,19,20,50,10.67,300,1500
Male,6-11,2200,130,34,27.5,60,14.67,300,1900
Male,12-19,3200,130,52,40,80,21.33,300,2200
Male,20 and over,3000,130,56,37.5,80,20.00,300,2300
Female,2-5,1600,130,19,20,50,10.67,300,1500
Female,6-11,2000,130,34,25,53,13.33,300,1900
Female,12-19,2400,130,46,30,65,16.00,300,2200
Female,20 and over,2400,130,46,30,65,16.00,300,2300
All,2-5,1600,130,19,20,50,10.67,300,1500
All,6-11,2200,130,34,27.5,53,14.67,300,1900
All,12-19,2800,130,49,35,73,18.67,300,2200
All,20 and over,2700,130,51,33.75,73,18.00,300,2300
