Gender,Age,Calories,Carbohydrate,Protein,Fiber,Fat,Sodium,Vitamin A,Vitamin C,Vitamin E,Calcium,Iron,Magnesium
Male,2-5,1000,130,19,25,50,1000,275,22,6,1000,10,130
Male,6-11,1400,130,34,31,60,1500,445,39,9,1300,8,240
Male,12-19,1800,130,52,38,80,1500,630,63,12,1300,11,410
Male,20 and over,2000,130,56,38,80,1200,625,75,12,1000,8,400
Female,2-5,1000,130,19,25,50,1000,275,22,6,1000,10,130
Female,6-11,1200,130,34,26,53,1500,420,39,9,1300,8,240
Female,12-19,1600,130,46,26,65,1500,485,56,12,1300,15,360
Female,20 and over,1600,130,46,25,65,1200,500,60,12,1000,18,310
All,2-5,1000,130,19,25,50,1000,275,22,6,1000,10,130
All,6-11,1300,130,34,28.5,53,1500,432.5,39,9,1300,8,240
All,12-19,1700,130,49,32,73,1500,557.5,59.5,12,1300,13,385
All,20 and over,1800,130,51,31.5,73,1200,562.5,67.5,12,1000,13,355
