Year,Income,Age,Sample Size,Calories (kcal),Protein (g),Carbohydrate (g),Sugar (g),Fiber (g),Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Vitamin E (mg),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Magnesium (mg),Iron (mg),Sodium (mg),Potassium (mg),Folate (mcg),Caffeine (mg),Alcohol (g)
2001,"$0 - $24,999",2-5,427,1695,57.8,230,126,10.6,62.8,23.2,23.5,10.8,208,4.5,506,97.7,877,195,12.5,2554,2127,471,20.1,#*
2001,"$0 - $24,999",6-11,454,2005,69.5,269,141,11.8,74.7,26.5,28.6,13.5,241,5.4,610,79.7,963,215,14.3,3056,2196,522,29.8,#*
2001,"$0 - $24,999",12-19,906,2291,75.9,311,169,12.7,83,28.2,32.3,15.7,264,6.2,459,86,841,231,15,3295,2259,530,71.3,3.3
2001,"$0 - $24,999",20 and over,1845,2089,76.5,266,130,14.6,76.6,24.6,28.3,15.7,274,6.2,541,86,768,251,14.4,3179,2466,515,144.7,8.7
2001,"$0 - $24,999",2 and over,3632,2079,74.5,269,135,13.9,76.3,25.1,28.5,15.2,266,6,535,86.2,802,242,14.4,3140,2395,514,117.5,6.7
2001,"$25,000 - $74,999",2-5,283,1630,56,228,127,10.4,57.3,21.4,21.4,10,178,4.2,575,82.3,998,198,12.3,2371,2054,489,12.6,#*
2001,"$25,000 - $74,999",6-11,443,1968,65.1,270,143,12.2,72.7,25.5,28.1,13.5,215,5.3,569,74.1,930,214,14.3,3031,2112,525,25,#*
2001,"$25,000 - $74,999",12-19,878,2303,77.5,313,169,13.6,84.5,29.6,32.2,16.2,264,6.4,640,92.9,1041,247,16.3,3430,2422,605,55.9,1
2001,"$25,000 - $74,999",20 and over,1858,2288,83.5,282,140,16.1,86.7,28.2,31.9,17.3,298,7.2,636,92.9,892,286,15.5,3451,2796,553,191.7,12.7
2001,"$25,000 - $74,999",2 and over,3462,2225,79.6,281,143,15.1,83.5,27.8,31,16.4,280,6.8,627,90.6,918,270,15.3,3352,2651,553,151.3,9.5
2001,"$75,000 and higher",2-5,107,1564,53.9,222,123,10.6,53.7,19.9,19.8,9.7,165,4.5,565,77.5,983,202,11.8,2165,2058,474,5.1,#*
2001,"$75,000 and higher",6-11,191,1998,66.7,281,149,13,70.3,25,27.2,12.9,197,5.5,597,85.6,1008,226,14.2,3124,2231,554,18.8,#*
