Gender,Age,Energy (kcal) Min,Energy (kcal) Max,Carbohydrate (g),Protein (g),Fiber (g),Added Sugar (low max),Added Sugar (high max),Sugar (g),Fat (low max),Fat (high max),Fat (g),Saturated Fat (low max),Saturated Fat (high max),Sodium (mg/d),Vit A (mg/d),Vit C (mg/d),Vit D (mg/d),Vit E (mg/d),Calcium (mg/d),Iron (mg/d),Magnesium (mg/d),Folate (mg/d)
Male,1,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,10,5,700,7,80,120
Male,2,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,10,5,700,7,80,120
Male,3,1000,1400,130,13,19,25,35,35,22,54,54,11,16,1000,210,13,10,5,700,7,80,120
Male,4,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Male,5,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Male,6,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Male,7,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Male,8,1400,1600,130,19,25,35,40,40,31,62,62,16,18,1200,275,22,10,6,1000,10,130,160
Male,9,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,10,9,1300,8,240,250
Male,10,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,10,9,1300,8,240,250
Male,11,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,10,9,1300,8,240,250
Male,12,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,10,9,1300,8,240,250
Male,13,1600,2200,130,34,31,40,55,55,36,86,86,18,24,1500,445,39,10,9,1300,8,240,250
Male,14,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,10,12,1300,11,410,330
Male,15,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,10,12,1300,11,410,330
Male,16,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,10,12,1300,11,410,330
Male,17,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,10,12,1300,11,410,330
Male,18,2000,2800,130,52,38,50,70,70,44,109,109,22,31,1500,630,63,10,12,1300,11,410,330
Male,19,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,20,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,21,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,22,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,23,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,24,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,25,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,26,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,27,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,28,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,29,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,30,2600,2800,130,56,38,65,70,70,58,109,109,29,31,1500,625,75,10,12,1000,8,400,320
Male,31,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,32,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,33,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,34,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,35,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,36,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,37,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,38,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,39,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,40,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,41,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,42,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,43,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,44,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,45,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,46,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,47,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,48,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,49,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,50,2200,2600,130,56,38,55,65,65,49,101,101,24,29,1500,625,75,10,12,1000,8,420,320
Male,51,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,52,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,53,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
Male,54,2000,2400,130,56,30,50,60,60,44,93,93,22,27,1300,625,75,10,12,1000,8,420,320
