Gender,Age,Fiber (g),MIN Sodium (mg/d),MAX Sodium (mg/d),Sodium (mg/d),Vit A (mg/d),Vit C (mg/d),Vit D (mg/d),Vit E (mg/d),Calcium (mg/d),MAX Calcium (mg/d),Iron (mg/d),MAX Iron (mg/d),Magnesium (mg/d),Folate (mg/d)
Male,1,19,1000,1500,1500,210,13,15,5,700,2500,7,40,80,120
Male,2,19,1000,1500,1500,210,13,15,5,700,2500,7,40,80,120
Male,3,19,1000,1500,1500,210,13,15,5,700,2500,7,40,80,120
Male,4,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Male,5,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Male,6,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Male,7,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Male,8,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Male,9,31,1500,2200,2200,445,39,15,9,1300,3000,8,40,240,250
Male,10,31,1500,2200,2200,445,39,15,9,1300,3000,8,40,240,250
Male,11,31,1500,2200,2200,445,39,15,9,1300,3000,8,40,240,250
Male,12,31,1500,2200,2200,445,39,15,9,1300,3000,8,40,240,250
Male,13,31,1500,2200,2200,445,39,15,9,1300,3000,8,40,240,250
Male,14,38,1500,2300,2300,630,63,15,12,1300,3000,11,45,410,330
Male,15,38,1500,2300,2300,630,63,15,12,1300,3000,11,45,410,330
Male,16,38,1500,2300,2300,630,63,15,12,1300,3000,11,45,410,330
Male,17,38,1500,2300,2300,630,63,15,12,1300,3000,11,45,410,330
Male,18,38,1500,2300,2300,630,63,15,12,1300,3000,11,45,410,330
Male,19,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,20,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,21,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,22,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,23,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,24,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,25,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,26,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,27,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,28,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,29,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,30,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,400,320
Male,31,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,32,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,33,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,34,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,35,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,36,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,37,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,38,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,39,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,40,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,41,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,42,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,43,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,44,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,45,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,46,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,47,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,48,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,49,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,50,38,1500,2300,2300,625,75,15,12,1000,2500,8,45,420,320
Male,51,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,52,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,53,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,54,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,55,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,56,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,57,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,58,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,59,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,60,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,61,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,62,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,63,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,64,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,65,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,66,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,67,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,68,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,69,30,1300,2300,2300,625,75,15,12,1000,2000,8,45,420,320
Male,70,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Male,71,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Male,72,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Male,73,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Male,74,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Male,75,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Male,76,30,1200,2300,2300,625,75,20,12,1200,2000,8,45,420,320
Female,1,19,1000,1500,1500,210,13,15,5,700,2500,7,40,80,120
Female,2,19,1000,1500,1500,210,13,15,5,700,2500,7,40,80,120
Female,3,19,1000,1500,1500,210,13,15,5,700,2500,7,40,80,120
Female,4,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Female,5,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Female,6,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Female,7,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Female,8,25,1200,1900,1900,275,22,15,6,1000,2500,10,40,130,160
Female,9,26,1500,2200,2200,420,39,15,9,1300,3000,8,40,240,250
Female,10,26,1500,2200,2200,420,39,15,9,1300,3000,8,40,240,250
Female,11,26,1500,2200,2200,420,39,15,9,1300,3000,8,40,240,250
Female,12,26,1500,2200,2200,420,39,15,9,1300,3000,8,40,240,250
Female,13,26,1500,2200,2200,420,39,15,9,1300,3000,8,40,240,250
Female,14,26,1500,2300,2300,485,56,15,12,1300,3000,15,45,360,330
Female,15,26,1500,2300,2300,485,56,15,12,1300,3000,15,45,360,330
Female,16,26,1500,2300,2300,485,56,15,12,1300,3000,15,45,360,330
Female,17,26,1500,2300,2300,485,56,15,12,1300,3000,15,45,360,330
Female,18,26,1500,2300,2300,485,56,15,12,1300,3000,15,45,360,330
Female,19,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,20,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,21,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,22,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,23,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,24,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,25,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,26,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,27,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,28,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,29,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,30,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,310,320
Female,31,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,32,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,33,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,34,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,35,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,36,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,37,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,38,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,39,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,40,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,41,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,42,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,43,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,44,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,45,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,46,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,47,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,48,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,49,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,50,25,1500,2300,2300,500,60,15,12,1000,2500,18,45,320,320
Female,51,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,52,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,53,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,54,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,55,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,56,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,57,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,58,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,59,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,60,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,61,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,62,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,63,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,64,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,65,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,66,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,67,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,68,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,69,21,1300,2300,2300,500,60,15,12,1200,2000,8,45,320,320
Female,70,21,1200,2300,2300,500,60,20,12,1200,2000,8,45,320,320
Female,71,21,1200,2300,2300,500,60,20,12,1200,2000,8,45,320,320
Female,72,21,1200,2300,2300,500,60,20,12,1200,2000,8,45,320,320
Female,73,21,1200,2300,2300,500,60,20,12,1200,2000,8,45,320,320
Female,74,21,1200,2300,2300,500,60,20,12,1200,2000,8,45,320,320
