Year,Gender,Age,N,Energy (kcal),Protein (g),Carbohydrate (g),Total sugars (g),Dietary fiber (g),Total fat (g),Saturated fat (g),Monounsaturated fat (g),Polyunsaturated fat (g),Cholesterol (mg),Vitamin E (mg),Vitamin A (mcg RAE),Vitamin C (mg),Calcium (mg),Magnesium (mg),Iron (mg),Sodium (mg),Potassium (mg),Folate (mcg DFE),Caffeine (mg),Alcohol (g)
2001,male,2-5,423.0,1733.0,59.6,241.0,135.0,10.8,61.5,23.0,23.0,10.5,191.0,4.4,544.0,95.6,1019.0,209.0,12.9,2511.0,2198.0,505.0,15.20,#*
2001,male,6-11,568.0,2108.0,72.0,289.0,153.0,12.9,76.7,27.4,29.5,13.8,230.0,5.5,644.0,78.2,1053.0,230.0,15.6,3272.0,2302.0,593.0,26.10,#*
2001,male,12-19,1139.0,2684.0,93.2,361.0,195.0,15.5,96.2,33.6,37.1,17.8,316.0,7.4,656.0,100.7,1169.0,289.0,19.0,3992.0,2818.0,668.0,74.30,4.40
2001,male,20-29,383.0,2901.0,103.4,364.0,184.0,16.9,100.1,33.7,37.9,19.3,342.0,7.9,646.0,119.2,1088.0,329.0,19.3,4144.0,3077.0,680.0,151.9,23.3
2001,male,30-39,354.0,2872.0,108.6,351.0,172.0,18.1,107.5,35.4,40.2,21.0,388.0,8.5,698.0,111.7,1085.0,339.0,19.5,4449.0,3277.0,688.0,215.00,15.20
2001,male,40-49,429.0,2748.0,102.5,319.0,150.0,19.0,105.4,33.9,39.1,20.7,360.0,8.5,628.0,93.9,983.0,341.0,18.1,4225.0,3276.0,640.0,240.10,23.20
2001,male,50-59,339.0,2426.0,89.1,292.0,146.0,17.3,93.6,29.6,34.0,18.9,340.0,7.6,683.0,100.8,902.0,311.0,16.4,3704.0,3163.0,555.0,243.00,15.80
2001,male,60-69,316.0,2211.0,87.8,261.0,117.0,17.7,87.2,26.7,31.8,18.5,312.0,8.3,663.0,96.4,857.0,305.0,17.3,3567.0,3016.0,579.0,203.80,11.30
2001,male,70 and over,429.0,1889.0,74.0,233.0,105.0,16.7,72.7,23.0,26.0,14.9,270.0,6.8,654.0,91.6,798.0,276.0,15.3,3039.0,2798.0,547.0,160.10,7.90
2001,male,20 and over,2250.0,2621.0,97.7,316.0,154.0,17.8,98.1,31.8,36.4,19.5,346.0,8.0,661.0,103.7,982.0,324.0,18.0,3997.0,3151.0,629.0,207.70,17.80
2001,female,2-5,433.0,1560.0,53.3,216.0,117.0,10.3,56.2,20.7,21.0,9.9,180.0,4.3,546.0,80.0,892.0,188.0,11.6,2293.0,1982.0,455.0,12.30,#*
2001,female,6-11,568.0,1856.0,61.7,254.0,133.0,11.6,68.5,24.0,26.4,12.9,207.0,5.2,525.0,80.4,857.0,204.0,12.9,2843.0,2032.0,483.0,23.00,#*
2001,female,12-19,1158.0,1981.0,65.3,273.0,146.0,12.1,71.8,24.9,27.5,13.9,216.0,5.7,526.0,80.8,838.0,212.0,13.8,2831.0,2076.0,509.0,49.10,1.00
2001,female,20-29,533.0,2055.0,72.0,272.0,135.0,13.7,73.5,24.6,28.0,14.6,243.0,6.1,495.0,83.0,800.0,236.0,14.3,3129.0,2187.0,532.0,91.4,#6.4
2001,female,30-39,462.0,2014.0,72.0,259.0,133.0,13.8,75.3,24.5,27.7,15.4,254.0,6.6,585.0,84.7,809.0,248.0,13.5,3165.0,2422.0,508.0,168.90,6.60
2001,female,40-49,417.0,1874.0,68.7,233.0,114.0,14.5,72.8,22.9,26.5,15.1,244.0,6.3,567.0,83.0,728.0,251.0,12.8,2889.0,2462.0,452.0,190.00,7.50
2001,female,50-59,303.0,1751.0,68.0,219.0,104.0,15.0,67.7,21.1,24.0,14.5,225.0,6.5,595.0,89.7,751.0,253.0,13.2,2727.0,2517.0,472.0,190.60,5.20
